data,time
10.0,10
39.0,49
15.0,64
29.0,93
25.0,118
11.0,129
34.0,163
16.0,179
29.0,208
19.0,227
18.0,245
20.0,265
85.0,350
24.0,374
9.0,383
38.0,421
14.0,435
17.0,452
17.0,469
19.0,488
18.0,506
12.0,518
12.0,530
16.0,546
12.0,558
11.0,569
22.0,591
37.0,628
17.0,645
10.0,655
25.0,680
23.0,703
12.0,715
31.0,746
13.0,759
19.0,778
17.0,795
13.0,808
15.0,823
13.0,836
17.0,853
18.0,871
24.0,895
10.0,905
11.0,916
24.0,940
22.0,962
20.0,982
9.0,991
13.0,1004
27.0,1031
20.0,1051
14.0,1065
19.0,1084
12.0,1096
18.0,1114
11.0,1125
31.0,1156
33.0,1189
15.0,1204
44.0,1248
18.0,1266
11.0,1277
11.0,1288
13.0,1301
25.0,1326
15.0,1341
23.0,1364
16.0,1380
15.0,1395
22.0,1417
26.0,1443
10.0,1453
19.0,1472
17.0,1489
13.0,1502
12.0,1514
22.0,1536
42.0,1578
16.0,1594
26.0,1620
16.0,1636
11.0,1647
50.0,1697
81.0,1778
25.0,1803
45.0,1848
12.0,1860
23.0,1883
56.0,1939
12.0,1951
26.0,1977
19.0,1996
19.0,2015
12.0,2027
11.0,2038
19.0,2057
12.0,2069
21.0,2090
16.0,2106
33.0,2139
19.0,2158
18.0,2176
14.0,2190
10.0,2200
22.0,2222
21.0,2243
17.0,2260
14.0,2274
17.0,2291
13.0,2304
14.0,2318
14.0,2332
14.0,2346
14.0,2360
63.0,2423
12.0,2435
33.0,2468
27.0,2495
70.0,2565
36.0,2601
35.0,2636
29.0,2665
16.0,2681
64.0,2745
17.0,2762
39.0,2801
27.0,2828
22.0,2850
31.0,2881
23.0,2904
34.0,2938
45.0,2983
17.0,3000
18.0,3018
15.0,3033
13.0,3046
18.0,3064
30.0,3094
14.0,3108
14.0,3122
10.0,3132
13.0,3145
51.0,3196
46.0,3242
22.0,3264
51.0,3315
16.0,3331
11.0,3342
32.0,3374
24.0,3398
43.0,3441
141.0,3582
50.0,3632
43.0,3675
61.0,3736
37.0,3773
14.0,3787
80.0,3867
62.0,3929
41.0,3970
26.0,3996
80.0,4076
9.0,4085
34.0,4119
108.0,4227
36.0,4263
35.0,4298
66.0,4364
70.0,4434
43.0,4477
14.0,4491
170.0,4661
49.0,4710
72.0,4782
81.0,4863
44.0,4907
20.0,4927
36.0,4963
37.0,5000
96.0,5096
15.0,5111
57.0,5168
133.0,5301
122.0,5423
33.0,5456
90.0,5546
148.0,5694
81.0,5775
150.0,5925
99.0,6024
98.0,6122
437.0,6559
206.0,6765
240.0,7005
223.0,7228
168.0,7396
226.0,7622
284.0,7906
500.0,8406
340.0,8746
228.0,8974
235.0,9209
247.0,9456
224.0,9680
385.0,10065
447.0,10512
314.0,10826
296.0,11122
212.0,11334
257.0,11591
267.0,11858
200.0,12058
248.0,12306
276.0,12582
262.0,12844
225.0,13069
190.0,13259
264.0,13523
338.0,13861
323.0,14184
210.0,14394
320.0,14714
345.0,15059
240.0,15299
316.0,15615
319.0,15934
188.0,16122
206.0,16328
210.0,16538
191.0,16729
270.0,16999
238.0,17237
346.0,17583
238.0,17821
231.0,18052
245.0,18297
272.0,18569
202.0,18771
244.0,19015
259.0,19274
303.0,19577
215.0,19792
223.0,20015
234.0,20249
233.0,20482
221.0,20703
275.0,20978
210.0,21188
329.0,21517
203.0,21720
255.0,21975
397.0,22372
252.0,22624
235.0,22859
195.0,23054
237.0,23291
222.0,23513
209.0,23722
232.0,23954
214.0,24168
261.0,24429
263.0,24692
219.0,24911
217.0,25128
224.0,25352
292.0,25644
252.0,25896
237.0,26133
232.0,26365
183.0,26548
203.0,26751
229.0,26980
251.0,27231
255.0,27486
233.0,27719
252.0,27971
203.0,28174
213.0,28387
339.0,28726
185.0,28911
210.0,29121
202.0,29323
208.0,29531
232.0,29763
192.0,29955
262.0,30217
188.0,30405
194.0,30599
190.0,30789
251.0,31040
268.0,31308
225.0,31533
222.0,31755
228.0,31983
212.0,32195
267.0,32462
205.0,32667
168.0,32835
190.0,33025
224.0,33249
197.0,33446
220.0,33666
194.0,33860
213.0,34073
206.0,34279
220.0,34499
192.0,34691
190.0,34881
243.0,35124
208.0,35332
184.0,35516
225.0,35741
206.0,35947
206.0,36153
198.0,36351
196.0,36547
252.0,36799
195.0,36994
212.0,37206
196.0,37402
204.0,37606
169.0,37775
218.0,37993
222.0,38215
196.0,38411
246.0,38657
210.0,38867
186.0,39053
221.0,39274
195.0,39469
192.0,39661
208.0,39869
198.0,40067
185.0,40252
229.0,40481
188.0,40669
202.0,40871
200.0,41071
175.0,41246
196.0,41442
205.0,41647
200.0,41847
184.0,42031
199.0,42230
200.0,42430
200.0,42630
174.0,42804
183.0,42987
197.0,43184
203.0,43387
207.0,43594
185.0,43779
195.0,43974
180.0,44154
189.0,44343
193.0,44536
207.0,44743
190.0,44933
181.0,45114
182.0,45296
205.0,45501
185.0,45686
174.0,45860
190.0,46050
170.0,46220
167.0,46387
187.0,46574
180.0,46754
202.0,46956
196.0,47152
219.0,47371
175.0,47546
197.0,47743
182.0,47925
159.0,48084
191.0,48275
188.0,48463
203.0,48666
199.0,48865
172.0,49037
201.0,49238
186.0,49424
202.0,49626
190.0,49816
198.0,50014
184.0,50198
203.0,50401
194.0,50595
192.0,50787
192.0,50979
195.0,51174
188.0,51362
206.0,51568
166.0,51734
186.0,51920
212.0,52132
200.0,52332
215.0,52547
177.0,52724
195.0,52919
203.0,53122
191.0,53313
205.0,53518
188.0,53706
189.0,53895
216.0,54111
217.0,54328
186.0,54514
204.0,54718
203.0,54921
237.0,55158
199.0,55357
172.0,55529
170.0,55699
172.0,55871
200.0,56071
194.0,56265
191.0,56456
203.0,56659
197.0,56856
194.0,57050
190.0,57240
206.0,57446
190.0,57636
213.0,57849
209.0,58058
189.0,58247
199.0,58446
209.0,58655
227.0,58882
196.0,59078
194.0,59272
201.0,59473
240.0,59713
205.0,59918
206.0,60124
184.0,60308
204.0,60512
195.0,60707
171.0,60878
215.0,61093
231.0,61324
177.0,61501
204.0,61705
191.0,61896
235.0,62131
181.0,62312
207.0,62519
178.0,62697
191.0,62888
193.0,63081
201.0,63282
198.0,63480
195.0,63675
197.0,63872
197.0,64069
185.0,64254
198.0,64452
210.0,64662
192.0,64854
186.0,65040
