data,time
-0.10805154085159302,282
-0.10786923632025719,451
-0.10751023799180985,671
-0.10775925099849701,875
-0.10685501962900162,1082
-0.10823370724916458,1305
-0.10702663779258728,1489
-0.10736500114202499,1650
-0.107334214001894,1870
-0.10859087631106376,2080
-0.10786642879247665,2306
-0.10744527474045754,2627
-0.1071273835003376,2897
-0.1075589719414711,3070
-0.10805813863873481,3241
-0.10703091338276863,3415
-0.10707761257886887,3696
-0.1066122642159462,3880
-0.10873075813055039,4132
-0.10805855199694633,4353
-0.10709504827857018,4580
-0.10798861742019654,4859
-0.10775160372257232,5064
-0.10789489910006524,5253
-0.10815627723932267,5536
-0.10812739342451096,5714
-0.10851063162088394,5912
-0.1069313745200634,6125
-0.10714338257908822,6298
-0.10737844914197922,6483
